"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"389",195,"RB","control",12,"Explicit",NA
"390",195,"II","control",29,"Explicit",NA
"391",196,"RB","task",42,"Explicit",NA
"392",196,"II","task",85,"Explicit",1
"393",197,"RB","control",34,"Explicit",NA
"394",197,"II","control",51,"Explicit",NA
"395",198,"RB","task",89,"Explicit",1
"396",198,"II","task",143,"Procedural",1
"397",199,"RB","control",9,"Explicit",NA
"398",199,"II","control",9,"Explicit",NA
"399",200,"RB","task",8,"Explicit",NA
"400",200,"II","task",30,"Explicit",NA
"401",201,"RB","control",21,"Explicit",NA
"402",201,"II","control",66,"Explicit",NA
"403",202,"RB","task",149,"Procedural",1
"404",202,"II","task",16,"Explicit",NA
"405",203,"RB","control",8,"Explicit",NA
"406",203,"II","control",12,"Explicit",NA
"407",204,"RB","task",50,"Explicit",1
"408",204,"II","task",40,"Explicit",NA
"409",205,"RB","control",16,"Explicit",NA
"410",205,"II","control",12,"Explicit",NA
"411",206,"RB","task",42,"Explicit",1
"412",206,"II","task",20,"Explicit",NA
"413",207,"RB","control",11,"Explicit",NA
"414",207,"II","control",8,"Explicit",NA
"415",208,"RB","task",NA,NA,1
"416",208,"II","task",56,"Explicit",NA
"417",209,"RB","control",13,"Explicit",NA
"418",209,"II","control",69,"Explicit",NA
"419",210,"RB","task",124,"Explicit",1
"420",210,"II","task",154,"Procedural",1
"421",211,"RB","control",8,"Explicit",NA
"422",211,"II","control",77,"Explicit",NA
"423",212,"RB","task",NA,NA,1
"424",212,"II","task",21,"Explicit",NA
"425",213,"RB","control",9,"Explicit",NA
"426",213,"II","control",43,"Explicit",NA
"427",214,"RB","task",NA,NA,1
"428",214,"II","task",30,"Explicit",NA
"429",215,"RB","control",30,"Explicit",NA
"430",215,"II","control",58,"Explicit",NA
"431",216,"RB","task",171,"Explicit",1
"432",216,"II","task",62,"Explicit",NA
"433",217,"RB","control",8,"Explicit",NA
"434",217,"II","control",54,"Explicit",NA
"435",218,"RB","task",8,"Explicit",NA
"436",218,"II","task",19,"Explicit",NA
"437",219,"RB","control",20,"Explicit",NA
"438",219,"II","control",NA,NA,1
"439",220,"RB","task",40,"Explicit",NA
"440",220,"II","task",17,"Explicit",NA
"441",221,"RB","control",10,"Explicit",NA
"442",221,"II","control",119,"Explicit",NA
"443",222,"RB","task",97,"Explicit",1
"444",222,"II","task",42,"Explicit",NA
"445",223,"RB","control",18,"Explicit",NA
"446",223,"II","control",50,"Explicit",NA
"447",224,"RB","task",168,"Explicit",1
"448",224,"II","task",36,"Explicit",NA
"449",225,"RB","control",22,"Explicit",NA
"450",225,"II","control",28,"Explicit",NA
