"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
6,1,2,11,"A",1,1.50071080978,"","pear","Stomach Ache","2016_Oct_19_1507"
6,1,2,12,"AX",1,1.68799448392,"apple","pear","Stomach Ache","2016_Oct_19_1507"
6,1,2,13,"A",1,1.84669959417,"pear","","Stomach Ache","2016_Oct_19_1507"
6,1,2,14,"AX",1,1.72287127958,"pear","apple","Stomach Ache","2016_Oct_19_1507"
6,1,2,15,"BY",1,3.03176857735,"orange","strawberry","Stomach Ache","2016_Oct_19_1507"
6,1,2,16,"CY",0,1.46895373968,"banana","orange","No Stomach Ache","2016_Oct_19_1507"
6,1,3,17,"BY",1,1.43806096201,"orange","strawberry","Stomach Ache","2016_Oct_19_1507"
6,1,3,18,"AX",1,1.62523018511,"apple","pear","Stomach Ache","2016_Oct_19_1507"
6,1,3,19,"A",1,1.532032157,"pear","","Stomach Ache","2016_Oct_19_1507"
6,1,3,20,"CY",0,2.09490639734,"orange","banana","No Stomach Ache","2016_Oct_19_1507"
6,1,3,21,"A",1,1.43547679303,"","pear","Stomach Ache","2016_Oct_19_1507"
6,1,3,22,"CY",0,1.28391336923,"banana","orange","No Stomach Ache","2016_Oct_19_1507"
6,1,3,23,"BY",1,1.53175007238,"strawberry","orange","Stomach Ache","2016_Oct_19_1507"
6,1,3,24,"AX",1,1.37903374038,"pear","apple","Stomach Ache","2016_Oct_19_1507"
6,1,4,25,"AX",1,1.44142451813,"apple","pear","Stomach Ache","2016_Oct_19_1507"
6,1,4,26,"BY",1,1.15854898398,"orange","strawberry","Stomach Ache","2016_Oct_19_1507"
6,1,4,27,"A",1,1.15356662904,"","pear","Stomach Ache","2016_Oct_19_1507"
6,1,4,28,"A",1,1.03283844632,"pear","","Stomach Ache","2016_Oct_19_1507"
6,1,4,29,"BY",1,1.50431166525,"strawberry","orange","Stomach Ache","2016_Oct_19_1507"
6,1,4,30,"CY",0,1.40834877233,"banana","orange","No Stomach Ache","2016_Oct_19_1507"
6,1,4,31,"CY",0,2.9067839334,"orange","banana","No Stomach Ache","2016_Oct_19_1507"
6,1,4,32,"AX",1,1.37544190406,"pear","apple","Stomach Ache","2016_Oct_19_1507"
7,1,1,1,"A",0,3.87557719206,"apple","","Stomach Ache","2016_Oct_19_1535"
7,1,1,2,"CY",0,4.93815698504,"pear","orange","No Stomach Ache","2016_Oct_19_1535"
7,1,1,3,"AX",1,2.65971988754,"apple","strawberry","Stomach Ache","2016_Oct_19_1535"
7,1,1,4,"AX",1,4.78208475525,"strawberry","apple","Stomach Ache","2016_Oct_19_1535"
7,1,1,5,"CY",1,3.12596167572,"orange","pear","No Stomach Ache","2016_Oct_19_1535"
7,1,1,6,"A",1,2.75056409085,"","apple","Stomach Ache","2016_Oct_19_1535"
7,1,1,7,"BY",0,2.46923368552,"pear","banana","Stomach Ache","2016_Oct_19_1535"
7,1,1,8,"BY",1,2.00325438811,"banana","pear","Stomach Ache","2016_Oct_19_1535"
7,1,2,9,"BY",1,2.15732497012,"pear","banana","Stomach Ache","2016_Oct_19_1535"
7,1,2,10,"CY",0,2.4380625941,"orange","pear","No Stomach Ache","2016_Oct_19_1535"
7,1,2,11,"AX",1,2.10981444945,"strawberry","apple","Stomach Ache","2016_Oct_19_1535"
7,1,2,12,"CY",0,3.62906693545,"pear","orange","No Stomach Ache","2016_Oct_19_1535"
7,1,2,13,"A",1,2.09429017239,"","apple","Stomach Ache","2016_Oct_19_1535"
7,1,2,14,"A",1,1.81524629809,"apple","","Stomach Ache","2016_Oct_19_1535"
7,1,2,15,"AX",1,2.56319574441,"apple","strawberry","Stomach Ache","2016_Oct_19_1535"
7,1,2,16,"BY",1,2.31265793374,"banana","pear","Stomach Ache","2016_Oct_19_1535"
7,1,3,17,"AX",1,2.34171385958,"apple","strawberry","Stomach Ache","2016_Oct_19_1535"
7,1,3,18,"BY",0,2.46933072002,"banana","pear","Stomach Ache","2016_Oct_19_1535"
7,1,3,19,"CY",1,1.93806119455,"pear","orange","No Stomach Ache","2016_Oct_19_1535"
7,1,3,20,"BY",1,1.68796439329,"pear","banana","Stomach Ache","2016_Oct_19_1535"
7,1,3,21,"A",1,1.2816983278,"apple","","Stomach Ache","2016_Oct_19_1535"
7,1,3,22,"CY",0,2.18800497986,"orange","pear","No Stomach Ache","2016_Oct_19_1535"
7,1,3,23,"A",1,1.31314435031,"","apple","Stomach Ache","2016_Oct_19_1535"
7,1,3,24,"AX",0,2.15477190516,"strawberry","apple","Stomach Ache","2016_Oct_19_1535"
7,1,4,25,"AX",1,1.53284198209,"apple","strawberry","Stomach Ache","2016_Oct_19_1535"
7,1,4,26,"CY",1,2.84433830087,"pear","orange","No Stomach Ache","2016_Oct_19_1535"
7,1,4,27,"AX",1,2.18799969269,"strawberry","apple","Stomach Ache","2016_Oct_19_1535"
7,1,4,28,"A",1,2.09442919295,"","apple","Stomach Ache","2016_Oct_19_1535"
7,1,4,29,"BY",1,1.62545457715,"pear","banana","Stomach Ache","2016_Oct_19_1535"
7,1,4,30,"CY",0,1.75046208018,"orange","pear","No Stomach Ache","2016_Oct_19_1535"
7,1,4,31,"BY",0,2.78374678228,"banana","pear","Stomach Ache","2016_Oct_19_1535"
7,1,4,32,"A",1,1.22131238552,"apple","","Stomach Ache","2016_Oct_19_1535"
8,1,1,1,"BY",0,18.9427449044,"orange","strawberry","Stomach Ache","2016_Oct_19_1542"
8,1,1,2,"CY",1,6.92255828064,"apple","orange","No Stomach Ache","2016_Oct_19_1542"
8,1,1,3,"A",0,6.47300027031,"pear","","Stomach Ache","2016_Oct_19_1542"
8,1,1,4,"AX",0,6.12587008491,"banana","pear","Stomach Ache","2016_Oct_19_1542"
8,1,1,5,"A",1,2.22030281648,"","pear","Stomach Ache","2016_Oct_19_1542"
8,1,1,6,"CY",1,6.56346080219,"orange","apple","No Stomach Ache","2016_Oct_19_1542"
8,1,1,7,"BY",1,4.18846395117,"strawberry","orange","Stomach Ache","2016_Oct_19_1542"
8,1,1,8,"AX",1,1.96922353946,"pear","banana","Stomach Ache","2016_Oct_19_1542"
8,1,2,9,"BY",1,1.71948190971,"orange","strawberry","Stomach Ache","2016_Oct_19_1542"
8,1,2,10,"AX",1,1.37545185635,"banana","pear","Stomach Ache","2016_Oct_19_1542"
8,1,2,11,"CY",0,6.21972713986,"orange","apple","No Stomach Ache","2016_Oct_19_1542"
8,1,2,12,"A",1,1.03169735649,"pear","","Stomach Ache","2016_Oct_19_1542"
8,1,2,13,"CY",0,4.18810940156,"apple","orange","No Stomach Ache","2016_Oct_19_1542"
8,1,2,14,"A",1,1.5830269641,"","pear","Stomach Ache","2016_Oct_19_1542"
8,1,2,15,"AX",1,1.50042685907,"pear","banana","Stomach Ache","2016_Oct_19_1542"
8,1,2,16,"BY",1,1.25273259776,"strawberry","orange","Stomach Ache","2016_Oct_19_1542"
8,1,3,17,"A",1,0.972372810764,"pear","","Stomach Ache","2016_Oct_19_1542"
8,1,3,18,"CY",0,3.06297733961,"apple","orange","No Stomach Ache","2016_Oct_19_1542"
8,1,3,19,"BY",1,1.56449148414,"strawberry","orange","Stomach Ache","2016_Oct_19_1542"
8,1,3,20,"BY",1,1.68886126444,"orange","strawberry","Stomach Ache","2016_Oct_19_1542"
8,1,3,21,"A",1,1.59172338166,"","pear","Stomach Ache","2016_Oct_19_1542"
8,1,3,22,"AX",1,0.878811835835,"pear","banana","Stomach Ache","2016_Oct_19_1542"
8,1,3,23,"CY",0,3.06301652669,"orange","apple","No Stomach Ache","2016_Oct_19_1542"
8,1,3,24,"AX",1,0.969161959772,"banana","pear","Stomach Ache","2016_Oct_19_1542"
8,1,4,25,"AX",1,0.937963460863,"pear","banana","Stomach Ache","2016_Oct_19_1542"
8,1,4,26,"BY",1,1.00044474204,"strawberry","orange","Stomach Ache","2016_Oct_19_1542"
8,1,4,27,"CY",0,2.8757664414,"apple","orange","No Stomach Ache","2016_Oct_19_1542"
8,1,4,28,"A",1,1.06297578459,"pear","","Stomach Ache","2016_Oct_19_1542"
8,1,4,29,"CY",0,2.00133173808,"orange","apple","No Stomach Ache","2016_Oct_19_1542"
8,1,4,30,"A",1,0.967100907001,"","pear","Stomach Ache","2016_Oct_19_1542"
8,1,4,31,"AX",1,1.00393363455,"banana","pear","Stomach Ache","2016_Oct_19_1542"
8,1,4,32,"BY",1,1.75049598067,"orange","strawberry","Stomach Ache","2016_Oct_19_1542"
9,1,1,1,"CY",1,8.09502726141,"banana","pear","No Stomach Ache","2016_Oct_19_1620"
9,1,1,2,"BY",0,3.84434172197,"strawberry","pear","Stomach Ache","2016_Oct_19_1620"
9,1,1,3,"AX",0,6.40510258445,"apple","orange","Stomach Ache","2016_Oct_19_1620"
9,1,1,4,"CY",0,1.59421630797,"pear","banana","No Stomach Ache","2016_Oct_19_1620"
9,1,1,5,"A",0,2.25081771787,"apple","","Stomach Ache","2016_Oct_19_1620"
9,1,1,6,"BY",1,2.20333363296,"pear","strawberry","Stomach Ache","2016_Oct_19_1620"
9,1,1,7,"AX",1,2.09726900735,"orange","apple","Stomach Ache","2016_Oct_19_1620"
9,1,1,8,"A",1,1.15687089838,"","apple","Stomach Ache","2016_Oct_19_1620"
9,1,2,9,"CY",0,1.59416623565,"pear","banana","No Stomach Ache","2016_Oct_19_1620"
9,1,2,10,"BY",1,2.0320652395,"strawberry","pear","Stomach Ache","2016_Oct_19_1620"
9,1,2,11,"CY",0,1.000310075,"banana","pear","No Stomach Ache","2016_Oct_19_1620"
9,1,2,12,"BY",1,0.910114323429,"pear","strawberry","Stomach Ache","2016_Oct_19_1620"
9,1,2,13,"AX",1,0.969380325812,"apple","orange","Stomach Ache","2016_Oct_19_1620"
9,1,2,14,"AX",1,1.09423636802,"orange","apple","Stomach Ache","2016_Oct_19_1620"
9,1,2,15,"A",1,1.59436372574,"","apple","Stomach Ache","2016_Oct_19_1620"
9,1,2,16,"A",1,1.03195669776,"apple","","Stomach Ache","2016_Oct_19_1620"
9,1,3,17,"CY",0,0.937927772116,"banana","pear","No Stomach Ache","2016_Oct_19_1620"
9,1,3,18,"AX",1,2.03180803586,"apple","orange","Stomach Ache","2016_Oct_19_1620"
9,1,3,19,"BY",1,2.65667760692,"strawberry","pear","Stomach Ache","2016_Oct_19_1620"
9,1,3,20,"CY",0,1.34717920376,"pear","banana","No Stomach Ache","2016_Oct_19_1620"
9,1,3,21,"AX",1,1.58110638621,"orange","apple","Stomach Ache","2016_Oct_19_1620"
9,1,3,22,"A",1,0.750427869265,"apple","","Stomach Ache","2016_Oct_19_1620"
9,1,3,23,"BY",1,0.969517791411,"pear","strawberry","Stomach Ache","2016_Oct_19_1620"
9,1,3,24,"A",1,1.03174521227,"","apple","Stomach Ache","2016_Oct_19_1620"
